Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: Battery Config: Capacity=40.0kWh, MinSOC=10.0%, Reserve=10.0%
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: Optimization Plan from 2026-04-22 22:15:00+00:00 to 2026-04-24 20:00:00+00:00:
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: Interval: 15 minutes
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: GSHP Initial State: 43.7°C, STOPPED
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: Time        | Baseload | GSHP kW | Grid kW | Solar | SOC% | P-tile | Intent | Acc Sim
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: ------------|----------|---------|---------|-------|------|--------|--------|--------
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 23:45 |      3.0 |     0.0 |    13.0 |  0.00 | 33.4 |   0.0% | STOP   |  52.6
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 00:00 |      4.3 |     0.0 |     4.3 |  0.00 | 33.4 |  43.5% | STOP   |  51.4
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 00:15 |      4.3 |     0.0 |     4.3 |  0.00 | 33.4 |  43.5% | STOP   |  50.2
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 00:30 |      4.3 |     0.0 |     4.3 |  0.00 | 33.4 |  43.5% | STOP   |  49.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 00:45 |      4.4 |     0.0 |     4.4 |  0.00 | 33.4 |  43.5% | STOP   |  47.7
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 01:00 |      4.4 |     0.0 |    14.4 |  0.00 | 39.3 |  12.5% | STOP   |  46.5
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 01:15 |      4.4 |     0.0 |    14.4 |  0.00 | 45.3 |  12.5% | STOP   |  45.3
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 01:30 |      4.4 |     0.0 |    14.4 |  0.00 | 51.2 |  12.5% | STOP   |  44.1
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 01:45 |      4.4 |     0.0 |    14.4 |  0.00 | 57.1 |  12.5% | STOP   |  42.9
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 02:00 |      4.3 |     0.0 |    14.3 |  0.00 | 63.1 |  12.5% | STOP   |  41.7
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 02:15 |      4.3 |     3.4 |    17.7 |  0.00 | 69.0 |  12.5% | START  |  42.6
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 02:30 |      4.3 |     3.4 |    17.7 |  0.00 | 74.9 |  12.5% | START  |  46.6
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 02:45 |      4.3 |     3.7 |     0.0 |  0.00 | 69.7 |  30.4% | START  |  50.9
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 03:00 |      3.1 |     3.4 |    16.5 |  0.00 | 75.7 |  12.5% | START  |  55.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 03:15 |      3.1 |     0.0 |     0.0 |  0.00 | 73.6 |  30.4% | STOP   |  53.8
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 03:30 |      3.1 |     0.0 |     0.0 |  0.00 | 71.6 |  30.4% | STOP   |  52.6
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 03:45 |      3.1 |     0.0 |     3.1 |  0.00 | 71.6 |  30.4% | STOP   |  51.4
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 04:00 |      3.0 |     0.0 |     3.0 |  0.00 | 71.6 |  30.4% | STOP   |  50.2
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 04:15 |      3.0 |     0.0 |     3.0 |  0.00 | 71.6 |  30.4% | STOP   |  49.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 04:30 |      3.0 |     0.0 |     3.0 |  0.03 | 71.6 |  43.5% | STOP   |  47.7
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 04:45 |      3.0 |     0.0 |     2.9 |  0.03 | 71.6 |  30.4% | STOP   |  46.5
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 05:00 |      2.9 |     0.0 |     2.9 |  0.03 | 71.6 |  30.4% | STOP   |  45.3
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 05:15 |      2.9 |     0.0 |     2.9 |  0.03 | 71.6 |  43.5% | STOP   |  44.1
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 05:30 |      2.9 |     0.0 |     2.5 |  0.37 | 71.6 |  43.5% | STOP   |  42.9
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 05:45 |      2.9 |     0.0 |     2.5 |  0.37 | 71.6 |  43.5% | STOP   |  41.7
